,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
이름,홍길동,박순혁,정화진,최원철,김노라,최호제,공정빈,전두홍,한라산,유튜브,이서역,김상아,김덕배,채민채,김자홍,정채정,전경연,송성민,정아람,한석우,김경백,가은환,기우창,손흥민,간대용,정덕주,강보아,소동균,박지성,오예른,강지현,한정현,김종현,김희연,김수맹,김은수,유민정,박혜선,김보미,김봄,임하은,서하연,류진서,강백호,백소연,나연선,노희원,정승연,김은애,박혜진,정유진,신나라,조서정,성나정,정재연,지소담,박채선,정인영,송정인,노현정,황은지,서수진,강소리,이지수,김시진,배자심,함연오,마판규,김세일,국예진,초혜은,명선빈,태정영,우국태,최지우,김동명,이호임,임영의,임도경,최정현,정남주,정서영,김상빈,이금영,노채라,최필규,안순혁,박정재,시정열,김상우,고석영,강백범,박병만,전중호,박민찬,박세정,정윤숙,박명지,이승숙,호수혜
생년월일,1993년 8월 13일,1995년 4월 14일,1992년 5월 17일,1993년 6월 24일,1993년 12월 25일,1996년 9월 25일,1991년 2월 28일,1994년 5월 13일,1995년 10월 15일,1993년 10월 5일,1995년 8월 8일,1996년 7월 16일,1992년 3월 17일,1995년 4월 12일,1993년 2월 22일,1995년 1월 10일,1992년 8월 9일,1993년 12월 1일,1994년 11월 13일,1993년 6월 8일,1995년 4월 5일,1995년 9월 30일,1994년 10월 30일,1992년 7월 8일,1993년 1월 13일,1995년 12월 1일,1992년 12월 19일,1995년 4월 19일,1994년 3월 15일,1997년 7월 14일,1993년 5월 10일,1990년 12월 14일,1991년 1월 06일,1991년 2월 11일,1995년 11월 15일,1996년 3월 30일,1992년 7월 10일,1995년 6월 29일,1994년 2월 15일,1994년 2월 16일,1994년 2월 2일,1997년 8월 4일,1994년 4월 30일,1989년 8월 14일,1988년 11월 3일,1994년 3월 11일,1990년 6월 5일,1995년 8월 19일,1997년 9월 15일,1997년 5월 15일,1996년 2월 10일,1991년 4월 17일,1995년 11월 23일,1988년 1월 23일,1997년 8월 1일,1993년 3월 1일,1992년 1월 11일,1993년 3월 9일,1995년 12월 21일,1995년 11월 21일,1996년 1월 1일,1996년 7월 17일,1995년 6월 21일,1995년 12월 24일,1985년 2월 13일,1996년 4월 1일,1997년 6월 7일,1989년 6월 6일,1999년 4월 27일,1999년 12월 27일,1995년 7월 13일,1993년 11월 13일,1996년 4월 4일,1995년 3월 11일,1993년 8월 13일,1999년 4월 21일,1996년 10월 1일,1990년 4월 14일,1991년 9월 17일,1994년 3월 24일,1989년 1월 13일,1987년 1월 13일,2000년 1월 13일,1994년 8월 13일,1998년 4월 25일,1993년 2월 5일,1989년 9월 30일,2000년 1월 11일,1995년 4월 21일,1994년 7월 29일,1999년 2월 6일,1991년 11월 23일,1996년 1월 3일,1996년 11월 13일,1999년 9월 9일,2000년 4월 3일,1995년 3월 8일,1992년 3월 8일,1996년 5월 7일,1991년 1월 11일
주소,제주특별자치도 제주시,서울특별시 강남구,경기도 과천시,광주광역시 남구,서울특별시 노원구,대전광역시 유성구,제주특별자치도 제주시,서울특별시 동대문구,부산광역시 해운대구,강원도 춘천시,제주특별자치도 제주시,서울특별시 강남구,서울특별시 강남구,경기도 안양시,인천광역시 남구,제주특별자치도 제주시,서울특별시 서대문구,제주특별자치도 제주시,울산광역시 남구,경상북도 경산시,제주특별자치도 제주시,제주특별자치도 서귀포시,제주특별자치도 서귀포시,강원도 춘천시,서울특별시 마포구,서울특별시 강북구,제주특별자치도 서귀포시,제주특별자치도 제주시,경기도 부천시 원미구,제주도 제주시 삼도동,제주도 제주시 이도동,서울특별시 마포구,서울특별시 마포구,경기도 성남시 분당구,부산광역시 동래구,서울특별시 마포구,경기도 부천시 원미구,인천광역시 연수구,경기도 부천시 오정구,경기도 수원시 장안구,경기도 안양시 만안구,경기도 안양시 동안구,경기도 용인시 처인구,경기도 용인시 기흥구,제주도 제주시 일도동,경기도 광주시,경기도 의왕시 고천동,경기도 용인시 처인구,경기도 수원시 영통구,경기도 고양시 일산서구,서울특별시 강서구,서울특별시 종로구,서울특별시 영등포구,서울특별시 종로구,서울특별시 동문대구,전라남도 광주광역시 서구,경기도 안양시,제주도 제주시 아라동,서울특별시 성북구,인천광역시 남동구,경기도 이천시 도리리,경기도 성남시 분당구,경기도 평택시 교포리,제주도 제주시 외도동,제주특별자치도 서귀포시,경기도 가평군,광주광역시 광산구,인천광역시 부평구,전라북도 김제시,제주도 제주시,충청남도 계룡시,충청남도 당진시,대전광역시 대덕구,충청남도 아산시,제주특별자치도 제주시,광주광역시 남구,부산광역시 강서구,부산광역시 기장군,제주특별자치도 서귀포시,서울특별시 강서구,서울특별시 강서구,서울특별시 관악구,충청남도 계룡시,충청남도 당진시,경기도 김포시,경기도 과천시,경기도 광주시,제주도 제주시,경기도 구리시,제주특별자치도 제주시,경상북도 경산시,경상북도 경산시,경기도 군포시,강원도 양구군,강원도 양구군,제주도 서귀포시,제주도 서귀포시,경기도 김포시,경기도 과천시,경기도 속초시
번호,010-2233-1478,010-0729-1959,010-9491-2351,010-0624-9193,010-1225-3991,010-0925-6919,010-0228-9122,010-0513-9451,010-0513-1599,010-0513-3319,010-0808-9588,010-0716-6991,010-1433-8225,010-0412-9541,010-0222-9322,010-5991-5110,010-0809-2080,010-1201-3121,010-1113-9411,010-0608-9368,010-0405-9545,010-0930-9593,010-0808-1995,010-0708-1992,010-0113-9319,010-1201-5921,010-1219-2921,010-0808-1995,010-2459-0315,010-6645-9086,010-3424-1205,010-6834-0190,010-6834-0190,010-8987-6540,010-1115-9519,010-0195-0330,010-5489-1170,010-2899--629,010-7543-2589,010-7543-1231,010-1219-0202,010-8845-3084,010-2252-0431,010-5907-1190,010-7134-0785,010-1103-4991,010-2398-7979,010-3349-0168,010-8343-0915,010-7754-0515,010-6890-0910,010-5701-1527,010-8123-1123,010-3409-1988,010-9922-9276,010-2848-6679,010-2991-1101,010-1784-9083,010-8313-0695,010-2453-4409,010-3081-9187,010-0812-2252,010-9184-1826,010-8446-1113,010-2425-3214,010-4443-2214,010-4443-2214,010-8966-0550,010-5034-2243,010-5244-1223,010-5882-4403,010-5882-4403,010-3541-4892,010-3541-4892,010-2233-1478,010-1243-5179,010-3584-1238,010-1234-9835,010-0917-9119,010-4154-2341,010-3418-9943,010-3533-4123,010-4237-8981,010-4329-8012,010-3589-2314,010-5234-2445,010-2349-8051,010-3124-1253,010-4123-8904,010-0729-9194,010-8674-4125,010-1354-8904,010-6785-2144,010-5231-1423,010-9919-9954,010-9405-1235,010-9250-4123,010-9431-1254,010-9491-2351,010-1145-4219
이메일,ab8ab@naver.com,sw0729@naver.com,eleghkwld@naver.com,wcc93@naver.com,norara93@naver.com,good25@naver.com,ball28@naver.com,frontred@daum.net,halla21@daum.net,subscribelike@daum.net,weststation@daum.net,sanga@gmail.com,qwer@naver.com,cmc12@daum.net,withgod@gmail.com,jcj110@naver.com,competition@daum.net,sm93@naver.com,weststation@daum.net,hsw9368@daum.net,white45@gmail.com,gosilver@naver.com,weststation@daum.net,hms7@naver.com,going@gmail.com,jdj12@naver.com,boa92@daum.net,weststation@daum.net,jspark@naver.com,oh_ye@gmail.com,jhhk@naver.com,hanjh@naver.com,jhkim16@gmail.com,heey0211@gmail.com,ksm9519@naver.com,sallyk03@gmail.com,meenj710@naver.com,heaseon@naver.com,bkim15@gmail.com,bom15@gmail.com,haneun02@gmail.com,glory84@gmail.com,truth30@naver.com,wtiger14@naver.com,soyeon113@naver.com,ys123@daum.net,heewon65@naver.com,jeongsy@gmail.com,dmsdo97@naver.com,gPwls15@naver.com,dbwls21@gmail.com,everyfunday@gmail.com,tjwjddl11@naver.com,dmdvkf88@naver.com,yeonjj@gmail.com,sodam31@gmail.com,csp111@gmail.com,inyong@gmail.com,jingsong@naver.com,noha@gmai.com,ejhawng1@gmail.com,soojin17@gmail.com,sounds21@gmail.com,leejsoo@naver.com,tlwls123@naver.com,wktla13@naver.com,wktla13@naver.com,mp10@gmail.com,sale99@naver.com,dpwls399@naver.com,cho-713@naver.com,tjsqls443@naver.com,wjddud13@naver.com,wjddud13@naver.com,ab8ab@naver.com, ehdaud15@naver.com, hoho96@naver.com,02young@naver.com,dk123@gmail.com,wjdwjd42@naver.com,soawn13@naver.com,dududutj@naver.com,tkdtkdaksgoeh@naver.com,dnflwlqrosms@naver.com,cofk2314@naver.com,feelgood42@naver.com,soon321@naver.com,wjdwokd123@naver.com,tjwjdduf421@naver.com,sw0729@naver.com,tjrdudrn@naver.com,qorqja@naver.com,qkrqudaks@naver.com,wjswndgh@naver.com,rnrnrnrn99@naver.com,qkrwptjw@naver.com,wjdnstlr@naver.com,wcvkjqw@naver.com,elesosmng@naver.com,ys123@daum.net
개인정보 데이터원본,"['홍길동', '1993년 8월 13일', '제주특별자치도 제주시', '010-2233-1478', 'ab8ab@naver.com']","['박순혁', '1995년 4월 14일', '서울특별시 강남구', '010-0729-1959', 'sw0729@naver.com']","['정화진', '1992년 5월 17일', '경기도 과천시', '010-9491-2351', 'eleghkwld@naver.com']","['최원철', '1993년 6월 24일', '광주광역시 남구', '010-0624-9193', 'wcc93@naver.com']","['김노라', '1993년 12월 25일', '서울특별시 노원구', '010-1225-3991', 'norara93@naver.com']","['최호제', '1996년 9월 25일', '대전광역시 유성구', '010-0925-6919', 'good25@naver.com']","['공정빈', '1991년 2월 28일', '제주특별자치도 제주시', '010-0228-9122', 'ball28@naver.com']","['전두홍', '1994년 5월 13일', '서울특별시 동대문구', '010-0513-9451', 'frontred@daum.net']","['한라산', '1995년 10월 15일', '부산광역시 해운대구', '010-0513-1599', 'halla21@daum.net']","['유튜브', '1993년 10월 5일', '강원도 춘천시', '010-0513-3319', 'subscribelike@daum.net']","['이서역', '1995년 8월 8일', '제주특별자치도 제주시', '010-0808-9588', 'weststation@daum.net']","['김상아', '1996년 7월 16일', '서울특별시 강남구', '010-0716-6991', 'sanga@gmail.com']","['김덕배', '1992년 3월 17일', '서울특별시 강남구', '010-1433-8225', 'qwer@naver.com']","['채민채', '1995년 4월 12일', '경기도 안양시', '010-0412-9541', 'cmc12@daum.net']","['김자홍', '1993년 2월 22일', '인천광역시 남구', '010-0222-9322', 'withgod@gmail.com']","['정채정', '1995년 1월 10일', '제주특별자치도 제주시', '010-5991-5110', 'jcj110@naver.com']","['전경연', '1992년 8월 9일', '서울특별시 서대문구', '010-0809-2080', 'competition@daum.net']","['송성민', '1993년 12월 1일', '제주특별자치도 제주시', '010-1201-3121', 'sm93@naver.com']","['정아람', '1994년 11월 13일', '울산광역시 남구', '010-1113-9411', 'weststation@daum.net']","['한석우', '1993년 6월 8일', '경상북도 경산시', '010-0608-9368', 'hsw9368@daum.net']","['김경백', '1995년 4월 5일', '제주특별자치도 제주시', '010-0405-9545', 'white45@gmail.com']","['가은환', '1995년 9월 30일', '제주특별자치도 서귀포시', '010-0930-9593', 'gosilver@naver.com']","['기우창', '1994년 10월 30일', '제주특별자치도 서귀포시', '010-0808-1995', 'weststation@daum.net']","['손흥민', '1992년 7월 8일', '강원도 춘천시', '010-0708-1992', 'hms7@naver.com']","['간대용', '1993년 1월 13일', '서울특별시 마포구', '010-0113-9319', 'going@gmail.com']","['정덕주', '1995년 12월 1일', '서울특별시 강북구', '010-1201-5921', 'jdj12@naver.com']","['강보아', '1992년 12월 19일', '제주특별자치도 서귀포시', '010-1219-2921', 'boa92@daum.net']","['소동균', '1995년 4월 19일', '제주특별자치도 제주시', '010-0808-1995', 'weststation@daum.net']","['박지성', '1994년 3월 15일', '경기도 부천시 원미구', '010-2459-0315', 'jspark@naver.com']","['오예른', '1997년 7월 14일', '제주도 제주시 삼도동', '010-6645-9086', 'oh_ye@gmail.com']","['강지현', '1993년 5월 10일', '제주도 제주시 이도동', '010-3424-1205', 'jhhk@naver.com']","['한정현', '1990년 12월 14일', '서울특별시 마포구', '010-6834-0190', 'hanjh@naver.com']","['김종현', '1991년 1월 06일', '서울특별시 마포구', '010-6834-0190', 'jhkim16@gmail.com']","['김희연', '1991년 2월 11일', '경기도 성남시 분당구', '010-8987-6540', 'heey0211@gmail.com']","['김수맹', '1995년 11월 15일', '부산광역시 동래구', '010-1115-9519', 'ksm9519@naver.com']","['김은수', '1996년 3월 30일', '서울특별시 마포구', '010-0195-0330', 'sallyk03@gmail.com']","['유민정', '1992년 7월 10일', '경기도 부천시 원미구', '010-5489-1170', 'meenj710@naver.com']","['박혜선', '1995년 6월 29일', '인천광역시 연수구', '010-2899--629', 'heaseon@naver.com']","['김보미', '1994년 2월 15일', '경기도 부천시 오정구', '010-7543-2589', 'bkim15@gmail.com']","['김봄', '1994년 2월 16일', '경기도 수원시 장안구', '010-7543-1231', 'bom15@gmail.com']","['임하은', '1994년 2월 2일', '경기도 안양시 만안구', '010-1219-0202', 'haneun02@gmail.com']","['서하연', '1997년 8월 4일', '경기도 안양시 동안구', '010-8845-3084', 'glory84@gmail.com']","['류진서', '1994년 4월 30일', '경기도 용인시 처인구', '010-2252-0431', 'truth30@naver.com']","['강백호', '1989년 8월 14일', '경기도 용인시 기흥구', '010-5907-1190', 'wtiger14@naver.com']","['백소연', '1988년 11월 3일', '제주도 제주시 일도동', '010-7134-0785', 'soyeon113@naver.com']","['나연선', '1994년 3월 11일', '경기도 광주시', '010-1103-4991', 'ys123@daum.net']","['노희원', '1990년 6월 5일', '경기도 의왕시 고천동', '010-2398-7979', 'heewon65@naver.com']","['정승연', '1995년 8월 19일', '경기도 용인시 처인구', '010-3349-0168', 'jeongsy@gmail.com']","['김은애', '1997년 9월 15일', '경기도 수원시 영통구', '010-8343-0915', 'dmsdo97@naver.com']","['박혜진', '1997년 5월 15일', '경기도 고양시 일산서구', '010-7754-0515', 'gPwls15@naver.com']","['정유진', '1996년 2월 10일', '서울특별시 강서구', '010-6890-0910', 'dbwls21@gmail.com']","['신나라', '1991년 4월 17일', '서울특별시 종로구', '010-5701-1527', 'everyfunday@gmail.com']","['조서정', '1995년 11월 23일', '서울특별시 영등포구', '010-8123-1123', 'tjwjddl11@naver.com']","['성나정', '1988년 1월 23일', '서울특별시 종로구', '010-3409-1988', 'dmdvkf88@naver.com']","['정재연', '1997년 8월 1일', '서울특별시 동문대구', '010-9922-9276', 'yeonjj@gmail.com']","['지소담', '1993년 3월 1일', '전라남도 광주광역시 서구', '010-2848-6679', 'sodam31@gmail.com']","['박채선', '1992년 1월 11일', '경기도 안양시', '010-2991-1101', 'csp111@gmail.com']","['정인영', '1993년 3월 9일', '제주도 제주시 아라동', '010-1784-9083', 'inyong@gmail.com']","['송정인', '1995년 12월 21일', '서울특별시 성북구', '010-8313-0695', 'jingsong@naver.com']","['노현정', '1995년 11월 21일', '인천광역시 남동구', '010-2453-4409', 'noha@gmai.com']","['황은지', '1996년 1월 1일', '경기도 이천시 도리리', '010-3081-9187', 'ejhawng1@gmail.com']","['서수진', '1996년 7월 17일', '경기도 성남시 분당구', '010-0812-2252', 'soojin17@gmail.com']","['강소리', '1995년 6월 21일', '경기도 평택시 교포리', '010-9184-1826', 'sounds21@gmail.com']","['이지수', '1995년 12월 24일', '제주도 제주시 외도동', '010-8446-1113', 'leejsoo@naver.com']","['김시진', '1985년 2월 13일', '제주특별자치도 서귀포시', '010-2425-3214', 'tlwls123@naver.com']","['배자심', '1996년 4월 1일', '경기도 가평군', '010-4443-2214', 'wktla13@naver.com']","['함연오', '1997년 6월 7일', '광주광역시 광산구', '010-4443-2214', 'wktla13@naver.com']","['마판규', '1989년 6월 6일', '인천광역시 부평구', '010-8966-0550', 'mp10@gmail.com']","['김세일', '1999년 4월 27일', '전라북도 김제시', '010-5034-2243', 'sale99@naver.com']","['국예진', '1999년 12월 27일', '제주도 제주시', '010-5244-1223', 'dpwls399@naver.com']","['초혜은', '1995년 7월 13일', '충청남도 계룡시', '010-5882-4403', 'cho-713@naver.com']","['명선빈', '1993년 11월 13일', '충청남도 당진시', '010-5882-4403', 'tjsqls443@naver.com']","['태정영', '1996년 4월 4일', '대전광역시 대덕구', '010-3541-4892', 'wjddud13@naver.com']","['우국태', '1995년 3월 11일', '충청남도 아산시', '010-3541-4892', 'wjddud13@naver.com']","['최지우', '1993년 8월 13일', '제주특별자치도 제주시', '010-2233-1478', 'ab8ab@naver.com']","['김동명', '1999년 4월 21일', '광주광역시 남구', '010-1243-5179', ' ehdaud15@naver.com']","['이호임', '1996년 10월 1일', '부산광역시 강서구', '010-3584-1238', ' hoho96@naver.com']","['임영의', '1990년 4월 14일', '부산광역시 기장군', '010-1234-9835', '02young@naver.com']","['임도경', '1991년 9월 17일', '제주특별자치도 서귀포시', '010-0917-9119', 'dk123@gmail.com']","['최정현', '1994년 3월 24일', '서울특별시 강서구', '010-4154-2341', 'wjdwjd42@naver.com']","['정남주', '1989년 1월 13일', '서울특별시 강서구', '010-3418-9943', 'soawn13@naver.com']","['정서영', '1987년 1월 13일', '서울특별시 관악구', '010-3533-4123', 'dududutj@naver.com']","['김상빈', '2000년 1월 13일', '충청남도 계룡시', '010-4237-8981', 'tkdtkdaksgoeh@naver.com']","['이금영', '1994년 8월 13일', '충청남도 당진시', '010-4329-8012', 'dnflwlqrosms@naver.com']","['노채라', '1998년 4월 25일', '경기도 김포시', '010-3589-2314', 'cofk2314@naver.com']","['최필규', '1993년 2월 5일', '경기도 과천시', '010-5234-2445', 'feelgood42@naver.com']","['안순혁', '1989년 9월 30일', '경기도 광주시', '010-2349-8051', 'soon321@naver.com']","['박정재', '2000년 1월 11일', '제주도 제주시', '010-3124-1253', 'wjdwokd123@naver.com']","['시정열', '1995년 4월 21일', '경기도 구리시', '010-4123-8904', 'tjwjdduf421@naver.com']","['김상우', '1994년 7월 29일', '제주특별자치도 제주시', '010-0729-9194', 'sw0729@naver.com']","['고석영', '1999년 2월 6일', '경상북도 경산시', '010-8674-4125', 'tjrdudrn@naver.com']","['강백범', '1991년 11월 23일', '경상북도 경산시', '010-1354-8904', 'qorqja@naver.com']","['박병만', '1996년 1월 3일', '경기도 군포시', '010-6785-2144', 'qkrqudaks@naver.com']","['전중호', '1996년 11월 13일', '강원도 양구군', '010-5231-1423', 'wjswndgh@naver.com']","['박민찬', '1999년 9월 9일', '강원도 양구군', '010-9919-9954', 'rnrnrnrn99@naver.com']","['박세정', '2000년 4월 3일', '제주도 서귀포시', '010-9405-1235', 'qkrwptjw@naver.com']","['정윤숙', '1995년 3월 8일', '제주도 서귀포시', '010-9250-4123', 'wjdnstlr@naver.com']","['박명지', '1992년 3월 8일', '경기도 김포시', '010-9431-1254', 'wcvkjqw@naver.com']","['이승숙', '1996년 5월 7일', '경기도 과천시', '010-9491-2351', 'elesosmng@naver.com']","['호수혜', '1991년 1월 11일', '경기도 속초시', '010-1145-4219', 'ys123@daum.net']"
대학교,건국대학교,서울대학교,전남대학교,조선대학교,서울여자대학교,충남대학교,제주대학교,서울시립대학교,부산대학교,강원대학교,제주대학교,서울대학교,건국대학교,안양대학교,인하대학교,제주대학교,이화여자대학교,제주대학교,울산대학교,대구대학교,제주대학교,제주대학교,제주한라대학교,수원대학교,연세대학교,고려대학교,제주한라대학교,제주대학교,위니브즈대학교,덕성여자대학교,위니브즈대학교,홍익대학교,홍익대학교,건국대학교,동아대학교,서울여자대학교,의니브즈대학교,아주대학교,중앙대학교,중앙대학교,서강대학교,수원대학교,수원대학교,한성대학교,한양대학교,건국대학교,한양대학교,의니브즈대학교,항공대학교,충남대학교,고신대학교,국민대학교,조선대학교,위니브즈대학교,덕성여자대학교,호남대학교,안양대학교,경희대학교,동국대학교,고려대학교,건국대학교,건국대학교,서울시립대학교,숭실대학교,건국대학교,고려대학교,이화여자대학교,인하대학교,세종사이버대학교,인하대학교,건국대학교 ,제주대학교,순천향대학교,홍익대학교,건국대학교,세종대학교,부경대학교 ,대전대학교,제주대학교,고려대학교,,세종사이버대학교,,부경대학교 ,건국대학교,동국대학교,,제주대학교,수원대학교,제주대학교,대구한의대학교,,포스텍,컴퓨터공학과,조선대학교,제주대학교,제주대학교,한국성서대학,중부대학교,건국대학교
전공,컴퓨터공학과,독어독문학과,정보보안학과,정보통신학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,컴퓨터과학부,정보통신공학부,컴퓨터공학과,컴퓨터교육과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,컴퓨터교육과,컴퓨터 공학과,컴퓨터공학과,IT융합전공,컴퓨터정보공학부,컴퓨터공학과,전산통계학과,컴퓨터정보과,컴퓨터공학과,컴퓨터과학과,컴퓨터학과,컴퓨터정보과,컴퓨터교육과,컴퓨터공학과,컴퓨터학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,정보보호학과,정보보안학과,정보보안학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,정보보안학과,정보통신학과,소프트웨어전공,컴퓨터공학과,소프트웨어전공,정보보안학과,컴퓨터공학과,컴퓨터공학과,인터넷비지니스학과,수학과,정보통신학과,정보통신학과,컴퓨터학과,인터넷소프트웨어학과,수학과,컴퓨터공학과,정보통신공학과,임베디드소프트,멀티미디어,멀티미디어,전자전기컴퓨터공학,글로벌미디어학부,멀티미디어,사이버국방학과,컴퓨터공학전공,유아교육과,정보보호시스템학과,컴퓨터공학과,컴퓨터공학과,컴퓨터공학과,해킹보안학과,컴퓨터공학과,컴퓨터공학과,정보보호학과,정보통신공학과,정보통신대학,의류학과,임베디드소프트웨어학과,,정보보호시스템학과,,컴퓨터공학과,컴퓨터공학과,동국대학교,,전산통계학과,정보보안학과,정치외교학과,인터넷정보학과,,컴퓨터공학,컴퓨터공학과,컴퓨터공학과,수학과,전산통계학과,컴퓨터소프트웨어학전공,정보보안학과,컴퓨터공학과
학점,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,9,10,10,9,7,8,8,8,8,9,7,10,7,10,10,10,9,9,8,7,10,7,7,7,8,10,10,7,9,7,10,10,10,10,10,10,10,9,10,7,6,10,10,7,6,10,10,6,10,10,6,6,8,9,10,0,10,0,10,10,6,0,7,6,9,10,0,10,10,9,6,6,6,10,10
졸업구분,졸업,졸업,졸업,졸업,졸업,재학,졸업,졸업,재학,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업예정,졸업,졸업,졸업,졸업,재학,졸업,졸업,졸업,졸업,졸업,졸업,졸업예정,졸업,졸업,졸업,졸업,졸업,졸업,졸업예정,졸업예정,졸업,졸업,졸업,졸업,졸업예정,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,졸업,재학중,재학중,졸업,재학중,재학중,졸업,휴학중,졸업,졸업,졸업,졸업,,졸업,,졸업,졸업,졸업,,재학중,졸업,재학,재학중,,재학중,재학중,재학중,재학중,재학중,졸업,졸업,졸업
